text,article,cohort,sim_to_centroid,original_index,cluster
driving these initiatives what is however lacking is sustained investment and a new approach to metrics that can allow for these agendas to be explicitly and unapologetically articulated and followed through so we can now see a bit of detail not this one though this one so the first pathway that we propose is developing a more continuous and decentralised infrastructure that enables practices of distributed organization key here is value alignment around legal standards metrical coordination and,Future Art Ecosystems 3: Art x Decentralised Tech,core,0.9528851509094238,659,0
its users so we treat these three primitives as jumping off points which are not without gaps and limitations they are drawn from what we see existing in the patterns within decentralised tech and particularly there are questions relating to durability legal status regulation spaces for alternative non network forms of creative r and d as well as questions over the delivery of public value but by and salvaging organizational primitives and trying to understand how they can be hybridized and augm,Future Art Ecosystems 3: Art x Decentralised Tech,core,0.9458504915237427,657,0
we ask the question how can artists and cultural organizations allow for spontaneous innovation through tools based projects that could serve as early blueprints for axat infrastructure building and an example of this is an open source tool polis which is a sentiment analysis tool for community deliberation and we're going to be using this tool shortly to collectively answer that beginning question and our experiment with this is an effort to understand how art could be a catalyst for aligning a,Future Art Ecosystems 3: Art x Decentralised Tech,core,0.9439666867256165,655,0
"type of feedback. We should be very aware of who's defining the metrics and whose interests are served by the types of metrics that get paid attention to and who's done. And if we keep focused on that, then we have the possibility of opening things up rather than closing things down.",The Future of Art According to Simon Denny,boundary,0.8645884990692139,1336,0
everyone my name is hans ulrich ovest i'm the artistic director of the serpentine and we are so delighted to welcome you all tonight here to celebrate the launch of future ecosystems three art and decentralized tech i hope you already got or will all get the small booklet which is actually the third volume in this series we are incredibly grateful of course to reference point to sofia to jonah and everybody else here and it's great a few weeks really after having all been here with kathleen for ,Future Art Ecosystems 3: Art x Decentralised Tech,diverse,0.9254751205444336,639,0
"I got thousands of messages when the work was around the world and how actually I learned that Alzheimer's and dementia is a very large problem for society. I mean, I think the future is holding multiple challenges. First of all, we will be questioning creativity. we will be questioning reality and I think we will be looking for who will define what is real who will be like the authority that will help us to define reality I think it will get more blurry I don't believe we will be eventually def",AI Is an Extension of My Mind,core,0.9448215365409851,83,1
"by a machine makes very real outputs. In fact, I was looking for these hallucinations as a mean of experiment. And the second phase was how can I visualize this latent space, a space that we cannot see, we cannot feel, but mathematically exists. So over the last seven years, which feels like 70 years, we developed many algorithms, many approaches to make this invisible space visible. And we downloaded more than 4 billion images of things that I call collective memories, such as urban, nature, sp",AI Is an Extension of My Mind,core,0.9406408071517944,72,1
"Those are informed by our own histories, our cultures, our own memories. And so that question of meaning making is all over the place. Artists, what we bring to the party is thousands, if not tens of thousands of years of thinking about what the hell an image is. The kind of engineering computer science tradition does not have that. This is a place where artists are bringing voices to the conversation that I think are quite urgent. we're talking about AI today but in truth the fascination and th",AI Art: How artists are using and confronting machine learning | HOW TO SEE LIKE,core,0.9393929243087769,37,1
"thinking, we're probably not allowed to know. I don't have a ton of policy opinions about it. I wish there could be some more incentives for things that are more constructive immediately: medicine, education, making the legal process less expensive. It’s crazy that, in general, if someone has more money, it’s significantly more likely they will win. They can just make things go on for a long time, and the courts are super backed up. What does competent leadership look like to you? The way the U.",Why Grimes No Longer Believes That Art Is Dead,boundary,0.864516019821167,1629,1
"GPT, Stable Diffuse, Mid Journey. Like these are all actually following a very similar pattern, which are extremely supervised, extremely labeled, multimodal AI algorithms allowing us to interact with them. In quote unquote supervised learning, which is the more conventional mode of machine learning, humans are the ones that are essentially tagging these bits of information from the outset, saying here's a picture of a pencil. This is a pencil. AI is quite good at saying, if you tell me to creat",AI Art: How artists are using and confronting machine learning | HOW TO SEE LIKE,diverse,0.9260134100914001,32,1
