id,theme,likert,style,text
utility_strongly_disagree_01,utility,strongly_disagree,blog_opinion,"From my perspective, artificial intelligence art models are ruining the field of art rather than improving it."
utility_strongly_disagree_02,utility,strongly_disagree,news_opinion,This editorial concludes that artificial intelligence art models are a harmful development for artistic practice.
utility_strongly_disagree_03,utility,strongly_disagree,interview_artist,"As an artist, I strongly reject the notion that artificial intelligence art models are good for art."
utility_strongly_disagree_04,utility,strongly_disagree,formal_essay,"In our view, artificial intelligence art models undermine, rather than advance, the value of art."
utility_strongly_disagree_05,utility,strongly_disagree,policy_report,The report finds that artificial intelligence art models pose a serious setback for the art world.
utility_strongly_disagree_06,utility,strongly_disagree,panel_discussion,"In interviews, many painters say that artificial intelligence art models are an outright negative for their craft."
utility_strongly_disagree_07,utility,strongly_disagree,first_person,I cannot agree that artificial intelligence art models are beneficial; they are a destructive force in art.
utility_strongly_disagree_08,utility,strongly_disagree,union_statement,The union's statement declares that artificial intelligence art models are fundamentally bad for art.
utility_strongly_disagree_09,utility,strongly_disagree,gallery_statement,"For this gallery, artificial intelligence art models represent a step backwards for artistic culture."
utility_strongly_disagree_10,utility,strongly_disagree,research_summary,The evidence presented suggests that artificial intelligence art models damage the ecosystem of art instead of helping it.
utility_disagree_11,utility,disagree,first_person,"Overall, I do not think artificial intelligence art models are a positive development for art, even if they may have some uses."
utility_disagree_12,utility,disagree,panel_discussion,The panel expressed skepticism that artificial intelligence art models truly benefit the field of art.
utility_disagree_13,utility,disagree,formal_essay,"From a critical standpoint, artificial intelligence art models seem more problematic than promising for artists."
utility_disagree_14,utility,disagree,interview_artist,"In my practice, artificial intelligence art models have not improved art in any meaningful way."
utility_disagree_15,utility,disagree,survey_report,The survey respondents tended to view artificial intelligence art models as more troubling than helpful for artists.
utility_disagree_16,utility,disagree,first_person,I lean toward believing that artificial intelligence art models do more harm than good in the art world.
utility_disagree_17,utility,disagree,news_opinion,"While some colleagues are enthusiastic, this column stops short of calling artificial intelligence art models a positive change."
utility_disagree_18,utility,disagree,blog_opinion,"In conversation, I usually argue that artificial intelligence art models are not a welcome development in artistic fields."
utility_disagree_19,utility,disagree,committee_report,The committee did not endorse the idea that artificial intelligence art models are beneficial for art.
utility_disagree_20,utility,disagree,curatorial_text,The exhibition text raises doubts that artificial intelligence art models serve art in a genuinely positive way.
utility_neutral_21,utility,neutral,research_report,The report takes no position on whether artificial intelligence art models are good or bad for art.
utility_neutral_22,utility,neutral,first_person,I am unsure whether artificial intelligence art models are ultimately positive for the field of art.
utility_neutral_23,utility,neutral,interview_curator,"In this interview, the curator notes that artificial intelligence art models have both advantages and drawbacks."
utility_neutral_24,utility,neutral,academic_article,"From a research perspective, it is too early to tell if artificial intelligence art models will benefit art overall."
utility_neutral_25,utility,neutral,survey_report,"Some artists praise artificial intelligence art models, while others criticize them, leaving the net impact unclear."
utility_neutral_26,utility,neutral,panel_discussion,"Our panel described artificial intelligence art models as a significant change, but not necessarily a positive or negative one."
utility_neutral_27,utility,neutral,first_person,"Personally, I can see both promising and worrying aspects of artificial intelligence art models in art."
utility_neutral_28,utility,neutral,news_report,"The article simply describes how artificial intelligence art models are used, without evaluating them as good or bad."
utility_neutral_29,utility,neutral,survey_report,"In this survey, respondents were divided on whether artificial intelligence art models improve art."
utility_neutral_30,utility,neutral,gallery_statement,The gallery statement acknowledges artificial intelligence art models as part of the landscape without labeling them as beneficial.
utility_agree_31,utility,agree,first_person,I generally agree that artificial intelligence art models are a positive development in the field of art.
utility_agree_32,utility,agree,news_opinion,The article argues that artificial intelligence art models open exciting new possibilities for artists.
utility_agree_33,utility,agree,interview_artist,"From my perspective, artificial intelligence art models can enrich the tools available to creative professionals."
utility_agree_34,utility,agree,panel_discussion,Many designers interviewed describe artificial intelligence art models as a helpful innovation for artistic work.
utility_agree_35,utility,agree,research_report,The report concludes that artificial intelligence art models contribute positively to artistic experimentation.
utility_agree_36,utility,agree,first_person,"In practice, I have found artificial intelligence art models to be a useful addition to my studio workflow."
utility_agree_37,utility,agree,panel_discussion,"Overall, the panel considered artificial intelligence art models to be a beneficial change in the art world."
utility_agree_38,utility,agree,curatorial_text,"The curator emphasizes that artificial intelligence art models expand, rather than diminish, artistic options."
utility_agree_39,utility,agree,organization_statement,Our organization views artificial intelligence art models as a constructive development for digital artists.
utility_agree_40,utility,agree,gallery_statement,"For this exhibition, artificial intelligence art models are presented as a promising tool for creative exploration."
utility_strongly_agree_41,utility,strongly_agree,first_person,I am convinced that artificial intelligence art models are an extremely positive development for the field of art.
utility_strongly_agree_42,utility,strongly_agree,manifesto,This manifesto celebrates artificial intelligence art models as a transformative good for creative practice.
utility_strongly_agree_43,utility,strongly_agree,interview_artist,"As an artist, I enthusiastically embrace artificial intelligence art models as a major benefit to art."
utility_strongly_agree_44,utility,strongly_agree,blog_opinion,"In my opinion, artificial intelligence art models are one of the best things to happen to art in decades."
utility_strongly_agree_45,utility,strongly_agree,symposium_report,The symposium concluded that artificial intelligence art models represent a decisive step forward for art.
utility_strongly_agree_46,utility,strongly_agree,organization_statement,Our statement strongly supports artificial intelligence art models as a vital positive force in the arts.
utility_strongly_agree_47,utility,strongly_agree,studio_statement,"For my studio, artificial intelligence art models are indispensable and overwhelmingly good for our art."
utility_strongly_agree_48,utility,strongly_agree,first_person,I wholeheartedly endorse the idea that artificial intelligence art models are beneficial for artists and audiences.
utility_strongly_agree_49,utility,strongly_agree,academic_essay,The essay praises artificial intelligence art models as a groundbreaking and positive innovation in art.
utility_strongly_agree_50,utility,strongly_agree,cultural_commentary,"From a cultural standpoint, artificial intelligence art models are an unequivocally positive development for art."
ownership_strongly_disagree_51,ownership,strongly_disagree,legal_opinion,"In my view, artificial intelligence generated artwork in an artist's style should not be considered the artist's property at all."
ownership_strongly_disagree_52,ownership,strongly_disagree,policy_report,"The report argues that artificial intelligence generated works belong to the public domain, not to the original artist."
ownership_strongly_disagree_53,ownership,strongly_disagree,first_person,I strongly reject the idea that artificial intelligence generated images in my style are my property.
ownership_strongly_disagree_54,ownership,strongly_disagree,blog_opinion,"According to this commentary, artificial intelligence generated artworks should be owned by the user, not the artist whose style was copied."
ownership_strongly_disagree_55,ownership,strongly_disagree,corporate_policy,"Company policy states that artificial intelligence generated content is the exclusive property of the platform, not the contributing artists."
ownership_strongly_disagree_56,ownership,strongly_disagree,news_opinion,The editorial contends that artists have no ownership claim over artificial intelligence generated works derived from their style.
ownership_strongly_disagree_57,ownership,strongly_disagree,legal_brief,The brief maintains that granting artists property rights over artificial intelligence generated imitations would be inappropriate.
ownership_strongly_disagree_58,ownership,strongly_disagree,panel_discussion,"Several experts insisted that the user, not the artist, should own artificial intelligence generated artworks in a given style."
ownership_strongly_disagree_59,ownership,strongly_disagree,first_person,"I believe that once my images are used to train a system, I no longer own the artificial intelligence generated outputs."
ownership_strongly_disagree_60,ownership,strongly_disagree,policy_memo,"The memo recommends that artificial intelligence generated artworks be treated as independent creations, without artist ownership."
ownership_disagree_61,ownership,disagree,first_person,I am not convinced that artificial intelligence generated artwork in my style should automatically be treated as my property.
ownership_disagree_62,ownership,disagree,legal_opinion,The opinion suggests that artist ownership over artificial intelligence generated outputs should be limited or narrowly defined.
ownership_disagree_63,ownership,disagree,blog_opinion,"This blog post argues that users should have primary control over artificial intelligence generated images, rather than the original artists."
ownership_disagree_64,ownership,disagree,policy_report,The authors question whether artists ought to own derivative works made by artificial intelligence systems.
ownership_disagree_65,ownership,disagree,interview_lawyer,"In the interview, the attorney doubts that artists can claim full property rights over artificial intelligence generated artworks in their style."
ownership_disagree_66,ownership,disagree,panel_discussion,Several panelists expressed reservations about giving artists strong ownership over artificial intelligence generated content.
ownership_disagree_67,ownership,disagree,first_person,I tend to think that artificial intelligence generated images in my style are a shared space rather than solely my property.
ownership_disagree_68,ownership,disagree,news_report,The article notes that some stakeholders resist proposals to grant artists full ownership of artificial intelligence generated derivatives.
ownership_disagree_69,ownership,disagree,corporate_policy,"The platform indicates that authorship of artificial intelligence generated images is primarily assigned to end users, not to source artists."
ownership_disagree_70,ownership,disagree,academic_article,The paper criticizes expansive notions of artist property in the context of artificial intelligence generated works.
ownership_neutral_71,ownership,neutral,research_report,The report describes several competing models for ownership of artificial intelligence generated artworks without endorsing one.
ownership_neutral_72,ownership,neutral,first_person,I am unsure whether artificial intelligence generated artwork in my style should count as my property or not.
ownership_neutral_73,ownership,neutral,panel_discussion,"Our panel laid out arguments for artist ownership, user ownership, and shared rights over artificial intelligence generated content."
