theme,text,probe_text,row_id,article_name,sim_to_centroid,__text,F_openai_labels,F_anthropic_labels,F_openai_match,F_anthropic_match,F_openai_n_labels,F_anthropic_n_labels
threat,"The fact is that the dominant intents and purposes of AI development are traditionally driven by scientic, technological, and economic interests so designing deeply competent and highly customized artistic tools is not their","The fact is that the dominant intents and purposes of AI development are traditionally driven by scientic, technological, and economic interests so designing deeply competent and highly customized artistic tools is not their",1553,Toward an Artist-Centred AI,0.8892434,"The fact is that the dominant intents and purposes of AI development are traditionally driven by scientic, technological, and economic interests so designing deeply competent and highly customized artistic tools is not their","[""utility"", ""threat""]","[""utility"", ""threat""]",True,True,2,2
threat,The rapid development of AI technologies in general and the nascent nature of their use in arts imply potential uncertainties of the applicability of the desirable values outlined here for future evolutions.,The rapid development of AI technologies in general and the nascent nature of their use in arts imply potential uncertainties of the applicability of the desirable values outlined here for future evolutions.,1560,Toward an Artist-Centred AI,0.9024652,The rapid development of AI technologies in general and the nascent nature of their use in arts imply potential uncertainties of the applicability of the desirable values outlined here for future evolutions.,"[""utility""]","[""threat"", ""utility""]",False,True,1,2
threat,"“What makes this AI different is that it’s explicitly trained on current working artists,” RJ Palmer, a digital artist, tweeted last month.","“What makes this AI different is that it’s explicitly trained on current working artists,” RJ Palmer, a digital artist, tweeted last month.",1692,nytimes.com,0.8846864,"“What makes this AI different is that it’s explicitly trained on current working artists,” RJ Palmer, a digital artist, tweeted last month.","[""transparency"", ""threat""]","[""transparency"", ""threat""]",True,True,2,2
threat,Special Issue Advancements in generative art have many human artists on edge.,Special Issue Advancements in generative art have many human artists on edge.,1665,Why artists shouldn’t fear AI,0.88861763,Special Issue Advancements in generative art have many human artists on edge.,"[""threat""]","[""threat""]",True,True,1,1
threat,This problem is only exacerbated when one examines works produced by creative robots.,This problem is only exacerbated when one examines works produced by creative robots.,486,"COPYRIGHTABILITY OF ARTWORKS PRODUCED BY CREATIVE ROBOTS AND THE CONCEPT OF
ORIGINALITY: THE FORMALITY - OBJECTIVE MODEL",0.8887196,This problem is only exacerbated when one examines works produced by creative robots.,"[""threat""]","[""ownership""]",True,False,1,1
threat,"isn’t putting artists out of work quite yet, but this new study shows that there may be real artist potential in the world of deep neural networks.","isn’t putting artists out of work quite yet, but this new study shows that there may be real artist potential in the world of deep neural networks.",7,"A.I.-Generated Art Now Looks More Convincingly Human Than Work at Art Basel, Study Says",0.8989088,"isn’t putting artists out of work quite yet, but this new study shows that there may be real artist potential in the world of deep neural networks.","[""threat"", ""utility""]","[""threat"", ""utility""]",True,True,2,2
threat,"I’ve been using AI as a tool, not as an agent.” Koons’s art is not necessarily known for having a handmade quality, of course.","I’ve been using AI as a tool, not as an agent.” Koons’s art is not necessarily known for having a handmade quality, of course.",924,Jeff Koons Won't Work with AI Anytime Soon,0.89104176,"I’ve been using AI as a tool, not as an agent.” Koons’s art is not necessarily known for having a handmade quality, of course.","[""utility"", ""ownership""]","[""utility""]",False,False,2,1
threat,"An experienced digital fine artist can add something to the brew, that AI on its own can’t, and that your average user can’t.","An experienced digital fine artist can add something to the brew, that AI on its own can’t, and that your average user can’t.",1126,Skynet is Coming for Digital Artists!,0.8826247,"An experienced digital fine artist can add something to the brew, that AI on its own can’t, and that your average user can’t.","[""utility""]","[""utility""]",False,False,1,1
threat,"It starts from the position that, to understand the promise of AI for the creative fields, we must not remain just in the realm of aesthetics.","It starts from the position that, to understand the promise of AI for the creative fields, we must not remain just in the realm of aesthetics.",46,AI Art: Machine Visions and Warped Dreams,0.8902036,"It starts from the position that, to understand the promise of AI for the creative fields, we must not remain just in the realm of aesthetics.","[""utility""]","[""utility""]",False,False,1,1
threat,"AI has had similarly epochal breakthroughs in text generation (GPT, Google Bard) and coding (Git Hub Copilot), but it’s AI art that has sparked the fiercest debate and generated anger and fear in the art community.","AI has had similarly epochal breakthroughs in text generation (GPT, Google Bard) and coding (Git Hub Copilot), but it’s AI art that has sparked the fiercest debate and generated anger and fear in the art community.",1667,Why artists shouldn’t fear AI,0.8881442,"AI has had similarly epochal breakthroughs in text generation (GPT, Google Bard) and coding (Git Hub Copilot), but it’s AI art that has sparked the fiercest debate and generated anger and fear in the art community.","[""threat""]","[""threat""]",True,True,1,1
utility,Another major concern is that AI art might replace human art one day.,Another major concern is that AI art might replace human art one day.,1332,The Future of Art,0.9009443,Another major concern is that AI art might replace human art one day.,"[""threat""]","[""threat""]",False,False,1,1
utility,"However, many art galleries are still assessing where AI art fits in.","However, many art galleries are still assessing where AI art fits in.",1584,Unpacking AI’s influence in contemporary Art,0.90986353,"However, many art galleries are still assessing where AI art fits in.","[""utility""]","[""utility""]",True,True,1,1
utility,"Within a range of the applied AI’s inuences on the artworld, our focus is on the impacts on artistic creativity, expressivity,","Within a range of the applied AI’s inuences on the artworld, our focus is on the impacts on artistic creativity, expressivity,",1551,Toward an Artist-Centred AI,0.8961865,"Within a range of the applied AI’s inuences on the artworld, our focus is on the impacts on artistic creativity, expressivity,","[""utility""]","[""utility"", ""threat""]",True,True,1,2
