cluster,cohort,rank,sim_to_centroid,article,year,media_type,word_count,text,original_index
3,core,1,0.9441133737564087,How will AI impact Art? Interview with Artist Jah Reynolds,2023,audio,250,"this realm and I really started to articulate my creative language through this space. and I didn't get a chance to receive that level of attention, you know? And like I would naturally feel, because I sat down and I put in the time to articulate my vision in that way. And I would probably be upset. But would I be upset 20 years from now, 30 years from now? Probably not. I'll probably be flattered, you know? So yeah, proximity to timeliness of the artist and also the exposure of the artist. Yeah. I think what you just articulated is interesting, is the sense that you feel ownership over the wo",831
3,core,2,0.9431903958320618,"The Future of Art: AI, Creativity, and Human Co-Evolution - A Talk with Mariam Brian",2024,audio,250,look at how emotional contagion is also spread through technologies and this means you know an incentive to yes purchase such and such product there's an opportunity to have things that you need know a lot of times i get advertisements but things i wouldn't have known without ai at the same time i think there's this need to look at the next generation of tech for good and how we can include global co authorship in the intention of the technology and ai and this is where artists come in and i think to be an artist or you know i think everybody's an artist but i think at a very high level of art,1399
3,core,3,0.9423419237136841,"The Future of Art: AI, Creativity, and Human Co-Evolution - A Talk with Mariam Brian",2024,audio,250,the link for me in terms of bridging art and artificial intelligence and more specifically what do you think is the impact of ai on art and on artists i think it's evolving i think it's generative it's iterative it's emerging i think at the beginning there was you know let me go back to how human behavior changes at scale and with every technological advancement that we've had from the wheel from fire from flight from you know every step has been fraught with the initial reaction of you know resistance this idea of we don't know what it is there's a lot of fear and then you have critical mass ,1383
3,core,4,0.9421426653862,"The Future of Art: AI, Creativity, and Human Co-Evolution - A Talk with Mariam Brian",2024,audio,250,for me to surprise myself and ai and then to look at finding new ways to code and reimagine what the creativity could be another example is a lot of you know gen ai images like you said are very homogenous they come out and they all look the same i draw a lot on mathematical concepts physics astrophysics spirituality and engineering sociology philosophy and i infuse them together which creates something different so that's kind of how i engage with ai and in our upcoming book in twenty twenty four you'll be able to see the entire compendium of what we've created using patented ai so the patent,1402
3,core,5,0.9415203928947449,"The Future of Art: AI, Creativity, and Human Co-Evolution - A Talk with Mariam Brian",2024,audio,250,that question of you know we're getting into bioethics we're getting into privacy consciousness sovereignty so when we look at algorithms we're really changing our genetic makeup and we're changing the way that we communicate we're changing the way that we connect with each other and we're also changing the way that we identify with ourselves and our self awareness and part of that is you know ai is configuring our neural networks at a biological level so the neurotransmitters and the neurochemicals the way that you know we can bridge ideas they're all being influenced by these algorithms and ,1382
3,boundary,6,0.8519031405448914,AI vs Artists: Who Will Win the War?,2025,audio,214,"has been involved in various industries Which media can you name them? The Rockefeller family has been involved in media through initiatives like supporting TV Lab at 13 WNET in the 1970 s. Their involvement often supports broader cultural and artistic initiatives. I wonder what the Rockefellers thought of Picasso. There's limited specific information on the Rockefellers' personal opinions about Picasso. Do their art acquisitions include any original Picassos? Yes. The Rockefeller family has owned original Picasso works, including Young Girl with a Basket of Flowers, which was part of their co",191
3,boundary,7,0.8541959524154663,Sarah Sze on the Future of Art,2023,audio,87,"deeply into the future culture that we're creating, I think that would be a great way to go. Possible is produced by Wonder Media Network, hosted by Ara Finger and me, Reid Hoffman. Our showrunner is Sean Young. Possible is produced by Edie Allard, Sarah Schleed, and Paloma Moreno Jimenez. Jenny Kaplan is our executive producer and ender. Special thanks to Katie Sanders, Surya Yalamanchili, Sayida Sepieva, Ian Ellis, Greg Beato, and Ben Rellis. And a big thank you to Kristen Graham and Little Monster Media Company.",1114
3,diverse,8,0.9079843759536743,"Conversations | Technology: Expanding, or erasing, the art world?",2024,audio,250,that a lot that pattern a lot and i think that represents to me a balance of forces like the kind of ethical political historical ways of thinking about what culture does or or should be doing that you learn on the humanities side is really at a disadvantage to the just the technical side i i have great respect for technology as a thing that does can change the world can be very creative i i i sometimes don't see it that reciprocated can you talk about the privilege of dystopia still because this is something that we got into in our previous discussion i mean it really i don't know it just lik,552
3,diverse,9,0.9091190695762634,"Art, Technology, and the Future with Sterling Crispin",2023,audio,250,super crystal clear because technology was taking so many different directions and then i think we started to catch up to the future we were envisioning and realizing that it wasn't exactly what we thought it was there were some parts that seem magical and seem great but it's very interesting for example when you look at films marty mcfly had shoelaces that tied themselves right and he had his hovercraft and he had a bunch of these things but what's really interesting is that in some of these futuristic films from the past there's some really basic stuff that they didn't have they didn't have ,367
3,diverse,10,0.9239383935928345,"AI and The Future of Art, Round 2, Sam Altman & Android Jones @ PlayAlchemist, Robot Heart Residency",2024,audio,250,made out of people it literally is made out of the effort of people don't know how complicated it was but if there was a way of tracking that and creating attribution for the contributions people have made and you created something where people were excited to wanna contribute more to this and they knew that they did i mean people do in a way we do own this because this is made out of all the residual data that we've been kind of consciously and unconsciously making and the main i think the main frustration was that this data was you know scraped and taken without an acknowledgment and without,114
7,core,1,0.9422670602798462,Sarah Sze on the Future of Art,2023,audio,250,"like your art, like, toes the line between the physical and the digital, between chaos and order. Like, what what about those dichotomies is interesting to you? Do they have more in common than you realize? Like, how do you think about that? Yeah. I mean, I think it's a for me, but I'm interested in hearing what you guys think about this. I mean, the digital is physical. It's not a nonphysical thing. This is a crazy weird dichotomy that people have created. The digital, you know, it's light, like what we're experiencing and it's light, it's pixels, it's the screen. You know, it's this, you kno",1078
7,core,2,0.9415166974067688,Sarah Sze on the Future of Art,2023,audio,250,"a concept of time and space, which I know you think about a lot or memory, which I know you also think about a lot. So there's so many I mean, I get so many offers all the time and I have been you know, it's funny, I remember I was like asked to do So I did an AR piece during COVID because I felt like people aren't allowed, they can't get out of their houses. They can't experience these things. I did a piece in Paris and it was closed. No one could go see it. So we did an AR piece where that piece came to your house. Like you held up your camera and all of a sudden these images were flying aro",1098
7,core,3,0.9394923448562622,Sarah Sze on the Future of Art,2023,audio,250,"so I you know, the fact that your perspective changes as you walk around it, as you look towards the wall, you look towards the, you know, the kind of the complex centerpiece desk slash studio slash something. Right? You know, exactly what it is. That that experience of time had me reflecting on it. That's beautiful. That's the philosopher in you. Yes. Absolutely. But I think the reason why I switched that over is because I think people often think, you know, they say, what does the work mean? Or they wanna know the answer from the artist. But I think it's interesting to open and say there isn",1111
7,core,4,0.9388241767883301,"Art, Technology, and the Future with Sterling Crispin",2023,audio,250,choose everything that goes into the output and so there is an extent to which people could judge or say that you know you're not creating art so much as like shaping it it's almost like a lot of the old masters might have had like an apprentice you're more like the apprentice watching the master do work and giving feedback and commentary on the extent to which it's done as opposed to the one holding the brush yeah i think those are interesting points i mean i still think it's almost like photography in a way it's like just i chose that this moment is my artwork you know and especially in an i,352
