theme,text,probe_text,row_id,article_name,sim_to_centroid,__text,F_openai_labels,F_anthropic_labels,F_openai_match,F_anthropic_match,F_openai_n_labels,F_anthropic_n_labels
compensation,"These decisions offer valuable guidance for artists, designers, musicians, programmers, and policymakers, clarifying the evolving thresholds for copyright protection in an AI-driven creative economy.","These decisions offer valuable guidance for artists, designers, musicians, programmers, and policymakers, clarifying the evolving thresholds for copyright protection in an AI-driven creative economy.",1032,"Recent Developments in AI, Art & Copyright: Copyright Office Report & New Registrations",0.888968,"These decisions offer valuable guidance for artists, designers, musicians, programmers, and policymakers, clarifying the evolving thresholds for copyright protection in an AI-driven creative economy.","[""ownership"", ""utility""]","[""ownership""]",False,False,2,1
compensation,"Some might advocate strongly for AI art, while others might emphasize the value of human creativity.","Some might advocate strongly for AI art, while others might emphasize the value of human creativity.",185,AI vs Artists: Who Will Win the War?,0.9163134,"Some might advocate strongly for AI art, while others might emphasize the value of human creativity.","[""utility"", ""threat""]","[""utility"", ""threat""]",False,False,2,2
compensation,"However, traditional copyright laws are unsuited to dealing with the copyrightable works produced by creative robots in light of technological advances.","However, traditional copyright laws are unsuited to dealing with the copyrightable works produced by creative robots in light of technological advances.",483,"COPYRIGHTABILITY OF ARTWORKS PRODUCED BY CREATIVE ROBOTS AND THE CONCEPT OF
ORIGINALITY: THE FORMALITY - OBJECTIVE MODEL",0.8661108,"However, traditional copyright laws are unsuited to dealing with the copyrightable works produced by creative robots in light of technological advances.","[""ownership""]","[""ownership""]",False,False,1,1
compensation,This new breed of creative artificial intelligence is introducing questions as yet unexplored in the field of copyright law.,This new breed of creative artificial intelligence is introducing questions as yet unexplored in the field of copyright law.,377,Artificial Creativity: A Case Against Copyright for AI-Created Visual Artwork,0.8801965,This new breed of creative artificial intelligence is introducing questions as yet unexplored in the field of copyright law.,"[""ownership""]","[""ownership""]",False,False,1,1
compensation,"At this stage, rather than providing principles or guidelines, the paper seeks to initiate a meaningful discussion around these issues to collectively design technologies, processes, and ecosystems that protect and prioritize artists globally and to subsequently propose a few relevant recommendations.","At this stage, rather than providing principles or guidelines, the paper seeks to initiate a meaningful discussion around these issues to collectively design technologies, processes, and ecosystems that protect and prioritize artists globally and to subsequently propose a few relevant recommendations.",1161,THE VOICE OF THE ARTIST IN THE AGE OF THE ALGORITHM,0.87303627,"At this stage, rather than providing principles or guidelines, the paper seeks to initiate a meaningful discussion around these issues to collectively design technologies, processes, and ecosystems that protect and prioritize artists globally and to subsequently propose a few relevant recommendations.","[""threat"", ""utility"", ""transparency""]","[""threat"", ""compensation"", ""transparency"", ""ownership""]",False,True,3,4
compensation,"Responsible AI Art Field Guide (Leibowicz et al., 2021) provide useful ethical considerations and guidance, artists remain primarily responsible and should be held accountable for the sociocultural values of their production.","Responsible AI Art Field Guide (Leibowicz et al., 2021) provide useful ethical considerations and guidance, artists remain primarily responsible and should be held accountable for the sociocultural values of their production.",1559,Toward an Artist-Centred AI,0.88646585,"Responsible AI Art Field Guide (Leibowicz et al., 2021) provide useful ethical considerations and guidance, artists remain primarily responsible and should be held accountable for the sociocultural values of their production.","[""utility"", ""ownership""]","[""utility"", ""ownership""]",False,False,2,2
compensation,"So we've launched the contributor fund really focused on if your image or your data has been used to train these models, right, you will get compensated similar to how artists have been from our organization for more than 20 years.","So we've launched the contributor fund really focused on if your image or your data has been used to train these models, right, you will get compensated similar to how artists have been from our organization for more than 20 years.",839,How will AI impact Art? Interview with Artist Jah Reynolds,0.8713017,"So we've launched the contributor fund really focused on if your image or your data has been used to train these models, right, you will get compensated similar to how artists have been from our organization for more than 20 years.","[""transparency"", ""compensation""]","[""compensation"", ""transparency""]",True,True,2,2
compensation,"In a range of contributions stretched between providing veneer and cultural legitimization to the corporate AI sector and taking genuine risks for cutting-edge expression, AI artists’ potential to establish poetic cogency 109 of Science and Technology of the Arts, vol.","In a range of contributions stretched between providing veneer and cultural legitimization to the corporate AI sector and taking genuine risks for cutting-edge expression, AI artists’ potential to establish poetic cogency 109 of Science and Technology of the Arts, vol.",1559,Toward an Artist-Centred AI,0.8789784,"In a range of contributions stretched between providing veneer and cultural legitimization to the corporate AI sector and taking genuine risks for cutting-edge expression, AI artists’ potential to establish poetic cogency 109 of Science and Technology of the Arts, vol.","[""utility""]","[""utility""]",False,False,1,1
compensation,"The HAI spring conference examines how technology and art can be mutually beneficial, whether through AI-assisted music composition, a robot-tended garden, or a racial justice-focused app.","The HAI spring conference examines how technology and art can be mutually beneficial, whether through AI-assisted music composition, a robot-tended garden, or a racial justice-focused app.",410,Artists’ Perspective How AI Enhances Creativity and Reimagines Meaning  Stanford HAI,0.8771161,"The HAI spring conference examines how technology and art can be mutually beneficial, whether through AI-assisted music composition, a robot-tended garden, or a racial justice-focused app.","[""utility""]","[""utility""]",False,False,1,1
compensation,"Legislative and Policy Gaps Although The 2025 Report suggests that current copyright laws are flexible enough to address AI issues, it does not fully resolve certain policy questions: Who owns AI-assisted works that involve multiple contributors?","Legislative and Policy Gaps Although The 2025 Report suggests that current copyright laws are flexible enough to address AI issues, it does not fully resolve certain policy questions: Who owns AI-assisted works that involve multiple contributors?",1025,"Recent Developments in AI, Art & Copyright: Copyright Office Report & New Registrations",0.88253635,"Legislative and Policy Gaps Although The 2025 Report suggests that current copyright laws are flexible enough to address AI issues, it does not fully resolve certain policy questions: Who owns AI-assisted works that involve multiple contributors?","[""ownership""]","[""ownership""]",False,False,1,1
