cluster,n_chunks,top_terms,claude_opus_label,claude_opus_macro,claude_opus_conf,claude_opus_desc,claude_sonnet_label,claude_sonnet_macro,claude_sonnet_conf,claude_sonnet_desc,gpt5_mini_label,gpt5_mini_macro,gpt5_mini_conf,gpt5_mini_desc,gpt5_nano_label,gpt5_nano_macro,gpt5_nano_conf,gpt5_nano_desc,consensus_macro_theme,macro_agreement,mean_label_similarity,mean_model_confidence,n_models_succeeded,combined_confidence
0,38,"decentralized, going, technologies, cultural, statements",Decentralized Infrastructure for Art Ecosystems,Institutions & Markets,0.8,"Discussion of decentralized technologies and infrastructure for supporting artistic practices, cultural organizations, and community decision-making in the art sector. Focus on developing continuous, open-source tools and new metrics for sustainable investment in decentralized art initiatives.",Decentralized Infrastructure for Art Ecosystems,Institutions & Markets,0.85,"This cluster focuses on developing decentralized technological infrastructure and governance models for art and cultural organizations. It emphasizes community-driven decision making, alternative metrics, and new organizational frameworks that enable more distributed and collaborative approaches to art production and cultural development.",Decentralized Art Ecosystems,Governance & Rights,0.86,"Discussions about building decentralized infrastructures and technologies for the cultural sector, focusing on community-driven tools, metrics, investment, and the durability/regulatory status of alternative art ecosystems. Emphasizes collective decision-making, public value, and the role of artists and institutions in shaping decentralized production and governance.",Decentralised Art Governance,Governance & Rights,0.78,"Examines how decentralised technologies and infrastructures intersect with art production, governance, regulatory concerns, and the measurement of public value within cultural ecosystems.",Institutions & Markets,0.5,0.4476190476190476,0.8225,4,0.4464999999999999
1,139,"ai, art, human, really, data",AI as Creative Collaborator,Philosophy of Creativity,0.85,"Explores AI as an extension of human creativity and consciousness, focusing on how artists use AI to visualize latent spaces, question reality, and bring new perspectives to meaning-making through technology. Emphasizes the philosophical and experimental aspects of human-AI collaboration in art.",Artists and AI Technology Integration,Practice & Pedagogy,0.85,"This cluster focuses on artists' perspectives on working with AI technology, exploring how they navigate and understand machine learning systems in their creative practice. It emphasizes the artist's role in bringing meaning and cultural context to AI-generated outputs.",Human vs. AI Creativity,Philosophy of Creativity,0.9,"Debates and reflections on how AI systems reshape creativity, authorship, and the meaning of art, focusing on artists' practices, aesthetic judgment, and the human role amid data-driven generative models.",AI-driven creativity and meaning,Philosophy of Creativity,0.72,"Explores meaning, authorship, and the status of AI-generated art, addressing how AI augments or challenges human creativity, notions of reality, and who defines art.",Philosophy of Creativity,0.75,0.1101190476190476,0.8300000000000001,4,0.4031119791666667
2,77,"mit, machine learning, microsoft",Machine Learning Art Theory & Practice,Technical Genealogy,0.85,"Academic and theoretical exploration of machine learning in art, covering the technical foundations of ML/AI systems, their creative applications, and the conceptual frameworks for understanding computational creativity and human-machine collaboration in artistic contexts.",AI Art Academic Research and Theory,Technical Genealogy,0.85,"Academic and scholarly perspectives on AI art, featuring research from institutions like MIT and theoretical frameworks for understanding machine learning in artistic contexts. This cluster encompasses book-length studies, academic papers, and institutional research that provides theoretical foundations for AI art discourse.",AI Art and Machine Learning,Philosophy of Creativity,0.92,"Examines the intersection of machine learning and the arts, focusing on computational creativity, human–machine relationships, and debates about authorship, originality, and the cultural meaning of AI-generated work.",Philosophy of AI Art,Philosophy of Creativity,0.72,"Analyzes debates about authorship, originality, and aesthetics at the intersection of artificial intelligence and art, focusing on how machine learning reshapes creative practice and the meaning of creativity.",Technical Genealogy,0.5,0.2661375661375662,0.835,4,0.3964593253968254
3,194,"know, ai, art, really, yeah",Personal Reflections on AI and Art,Practice & Pedagogy,0.75,"Conversational discussions and personal narratives about experiences, emotions, and evolving perspectives on AI's impact on art and creativity. Features informal dialogue, anecdotes, and reflective commentary rather than technical or policy analysis.",Conversational Reflections on AI Art Impact,Practice & Pedagogy,0.85,"Informal discussions and personal perspectives from artists, researchers, and commentators reflecting on how AI is changing art and creative practices. Features conversational language with personal anecdotes and evolving viewpoints on the relationship between technology and human creativity.",Artists' perspectives on AI,Practice & Pedagogy,0.85,"Conversational interviews and informal commentaries where artists and practitioners reflect on how AI is shaping creative practice, authorship, and emotional responses to attention. These texts emphasize lived experience, workflow changes, and the co-evolution of human creativity and technology.",Philosophy of AI Art Creativity,Philosophy of Creativity,0.72,"Discourse on how AI intersects with art, focusing on authorship, originality, and human–machine aesthetics, and the evolving nature of the creative process.",Practice & Pedagogy,0.75,0.2615740740740741,0.7925,4,0.4374113859953704
4,49,"sort, kind, thing, mental images, language",Mental Models and Abstract Thought,Philosophy of Creativity,0.85,"Explores how humans and AI systems process abstract concepts, mental imagery, and meaning-making beyond language, examining the nature of thought and communication between minds. Discusses the colonization of conceptual spaces and the creature-like qualities of AI systems.",Cognition and Mental Processing in AI,Philosophy of Creativity,0.85,"Discussions about how thinking, mental imagery, and abstract reasoning work in both humans and AI systems. Focuses on the mechanisms of cognition, language processing, and the nature of intelligence in artificial systems.",Mental imagery and AI cognition,Philosophy of Creativity,0.9,"Discussion of how minds—human and artificial—think, represent, and communicate ideas, focusing on mental images, language, and internal representations and what those mean for creativity and personhood. Texts explore whether AI 'thinks' or 'creates' like humans and how nonlinguistic imagery, neural patterns, and conceptual space shape artistic meaning.",Mental imagery in AI art,Philosophy of Creativity,0.85,"Examines how researchers and commentators think about AI-generated art through mental imagery, language, and abstract ideas, including debates over whether AI operates as a tool or a creature and how human cognition shapes perception of machine creativity.",Philosophy of Creativity,1.0,0.3263888888888889,0.8625,4,0.5720052083333333
5,44,"cohen, aaron, computer, creativity, 2010",Harold Cohen and AARON Legacy,Technical Genealogy,0.85,"Documents focused on Harold Cohen's pioneering work with AARON, his AI art program developed over 40+ years, examining its historical significance and unique approach to computer-generated art. The cluster explores Cohen's philosophy of machine autonomy in art creation and AARON's evolution from abstract drawings to figurative works.",Harold Cohen and AARON Legacy,Technical Genealogy,0.95,"This cluster focuses on Harold Cohen's pioneering computer art program AARON, discussing its development, exhibitions, and significance in the history of AI-generated art from the 1960s through 2010s. The texts examine AARON's evolution, Cohen's artistic philosophy, and the program's impact on computational creativity.",AARON and algorithmic creativity,Philosophy of Creativity,0.92,"Texts focus on Harold Cohen’s AARON program and its history, exhibitions, and technical design, using it as a case study to explore program autonomy, authorship, and aesthetic questions in computer-generated art. Discussions emphasize how rule-based systems produce work that challenges ideas of creativity and human likeness in art.",AARON and Harold Cohen: AI Art Authorship,Philosophy of Creativity,0.72,"Discussion of Harold Cohen's AARON and its artworks, focusing on authorship, originality, and the boundary between human and machine creativity in art across decades.",Technical Genealogy,0.5,0.41005291005291,0.8599999999999999,4,0.4547420634920635
6,18,"museums, publishing, writing, journalism, important",Future of Arts Journalism and Museums,Institutions & Markets,0.75,"Discussion of how digital transformation affects arts journalism, criticism, museum experiences, and cultural publishing, with focus on the changing roles of critics, curators, and institutions in telling artists' stories. Explores tensions between digital media's constant pace and museums' contemplative experiences.",Cultural Institutions and Digital Publishing Future,Institutions & Markets,0.85,"This cluster focuses on how digital transformation and AI technologies are reshaping cultural institutions like museums, art journalism, publishing, and criticism. The discussion centers on the evolving roles of curators, critics, and cultural intermediaries in digital media landscapes.",Digital arts journalism & museums,Practice & Pedagogy,0.87,"Discussion of how digital media and technologies are reshaping arts publishing, criticism, curatorship, and museum experiences — including the future of arts journalism, writing, and the roles of critics and curators.","Museums, Publishing, and Digital Art Discourse",Institutions & Markets,0.68,"Examines how digital tools and media reshape museums, publishing, and journalism in conversations about AI-enabled art, audience engagement, and criticism.",Institutions & Markets,0.75,0.1776515151515151,0.7875000000000001,4,0.4057377485795455
7,113,"know, art, really, kind, lot",Conversational Reflections on Art Practice,Practice & Pedagogy,0.85,"Informal discussions and interviews where artists and thought leaders reflect on their creative process, the relationship between physical and digital art, and personal experiences with technology in art-making. The cluster captures spoken discourse with a conversational, exploratory tone rather than formal academic or technical analysis.",Conversational Discourse on Art and AI,Philosophy of Creativity,0.85,"This cluster captures informal, conversational discussions about art and AI, characterized by tentative language, hedging, and exploratory dialogue. The discourse includes interviews, panel discussions, and casual conversations where speakers reflect on and negotiate ideas about the intersection of art and technology.",Artists on digital-physical practice,Practice & Pedagogy,0.88,"Conversational reflections by artists and creative leaders about the intersection of digital and physical art—time, memory, embodied experience, AR and emerging AI tools—and how these shape artistic practice, audience access, and creative process.",AI and the Future of Art,Philosophy of Creativity,0.72,"Cluster explores how AI and digital technologies shape art, examining the interplay between physical and digital forms, temporality, memory, and questions of originality and authorship.",Practice & Pedagogy,0.5,0.2008597883597883,0.825,4,0.3715159970238095
8,68,"copyright, coders, software, law, protection",AI Copyright and Legal Protection,Governance & Rights,0.95,"Explores copyright law implications for AI-generated artwork, focusing on questions of authorship, legal protection, and how existing copyright frameworks apply to machine-created content.",AI Copyright and Legal Frameworks,Governance & Rights,0.95,"This cluster focuses on copyright law as it applies to AI-generated creative works, examining questions of authorship, legal protection, and how existing copyright frameworks should be adapted or interpreted for works created by artificial intelligence. The discussion centers on legal precedents, statutory interpretations, and policy considerations for protecting AI-generated art.",Copyright and AI-Generated Art,Governance & Rights,0.93,"Discussion of legal questions about authorship, ownership, and copyright protection for works produced or assisted by artificial intelligence, including whether coders or arrangers can be considered authors and how statutes define ""computer-generated"" works. Documents debate scope of copyright coverage, applicable law, and proposed regulatory responses to AI-created creative works.",Copyright in AI-generated art,Governance & Rights,0.78,"This cluster centers on copyright, authorship, and legal protections for AI-created artworks. It explores who qualifies as the author—human, coder, or the AI system—and how laws apply to generated works.",Governance & Rights,1.0,0.348015873015873,0.9025,4,0.6082921626984128
9,11,"internet, mo ma, ma, mo, exhibition",Digital Art Exhibition and Display,Institutions & Markets,0.85,"Discussions about presenting digital and internet-based art in museum contexts, particularly focusing on MoMA's exhibition of Rafaël Rozendaal's web-based artworks and the challenges of translating online experiences to physical gallery spaces.",Digital Art Exhibition and Curation,Institutions & Markets,0.85,"This cluster focuses on the exhibition and curation of digital art, particularly websites and internet-based artworks in traditional museum settings like MoMA. It explores how digital works are presented, experienced, and contextualized within institutional art spaces.",Museum exhibition of internet art,Institutions & Markets,0.86,"Texts focus on museums (notably MoMA) curating and exhibiting internet- and screen-based artworks, including studio visits and artist interviews about websites-as-art, digital abstraction, and the visitor experience. The pieces discuss how digital works are presented, experienced, and contextualized within institutional settings.",Digital Internet Art at MoMA,Practice & Pedagogy,0.65,"Cluster centers on internet-based artworks (websites, screensavers) and their presentation in MoMA exhibitions, highlighting artistic practice and the digital medium.",Institutions & Markets,0.75,0.3194444444444444,0.8025,4,0.4632486979166667
