cluster,n_chunks,top_terms,claude_opus_label,claude_opus_macro,claude_opus_conf,claude_sonnet_label,claude_sonnet_macro,claude_sonnet_conf,gpt5_mini_label,gpt5_mini_macro,gpt5_mini_conf,gpt5_nano_label,gpt5_nano_macro,gpt5_nano_conf,consensus_macro_theme,macro_agreement,mean_label_similarity,combined_confidence,n_models_succeeded,human_approved_label,human_approved_macro_theme,human_notes
0,38,"decentralized, going, technologies, cultural, statements",Decentralized Infrastructure for Art Ecosystems,Institutions & Markets,0.8,Decentralized Infrastructure for Art Ecosystems,Institutions & Markets,0.85,Decentralized Art Ecosystems,Governance & Rights,0.86,Decentralised Art Governance,Governance & Rights,0.78,Institutions & Markets,0.5,0.44761904761904764,0.44649999999999995,4,,,
1,139,"ai, art, human, really, data",AI as Creative Collaborator,Philosophy of Creativity,0.85,Artists and AI Technology Integration,Practice & Pedagogy,0.85,Human vs. AI Creativity,Philosophy of Creativity,0.9,AI-driven creativity and meaning,Philosophy of Creativity,0.72,Philosophy of Creativity,0.75,0.1101190476190476,0.4031119791666667,4,,,
2,77,"mit, machine learning, microsoft",Machine Learning Art Theory & Practice,Technical Genealogy,0.85,AI Art Academic Research and Theory,Technical Genealogy,0.85,AI Art and Machine Learning,Philosophy of Creativity,0.92,Philosophy of AI Art,Philosophy of Creativity,0.72,Technical Genealogy,0.5,0.2661375661375662,0.3964593253968254,4,,,
3,194,"know, ai, art, really, yeah",Personal Reflections on AI and Art,Practice & Pedagogy,0.75,Conversational Reflections on AI Art Impact,Practice & Pedagogy,0.85,Artists' perspectives on AI,Practice & Pedagogy,0.85,Philosophy of AI Art Creativity,Philosophy of Creativity,0.72,Practice & Pedagogy,0.75,0.2615740740740741,0.4374113859953704,4,,,
4,49,"sort, kind, thing, mental images, language",Mental Models and Abstract Thought,Philosophy of Creativity,0.85,Cognition and Mental Processing in AI,Philosophy of Creativity,0.85,Mental imagery and AI cognition,Philosophy of Creativity,0.9,Mental imagery in AI art,Philosophy of Creativity,0.85,Philosophy of Creativity,1.0,0.3263888888888889,0.5720052083333333,4,,,
5,44,"cohen, aaron, computer, creativity, 2010",Harold Cohen and AARON Legacy,Technical Genealogy,0.85,Harold Cohen and AARON Legacy,Technical Genealogy,0.95,AARON and algorithmic creativity,Philosophy of Creativity,0.92,AARON and Harold Cohen: AI Art Authorship,Philosophy of Creativity,0.72,Technical Genealogy,0.5,0.41005291005291006,0.4547420634920635,4,,,
6,18,"museums, publishing, writing, journalism, important",Future of Arts Journalism and Museums,Institutions & Markets,0.75,Cultural Institutions and Digital Publishing Future,Institutions & Markets,0.85,Digital arts journalism & museums,Practice & Pedagogy,0.87,"Museums, Publishing, and Digital Art Discourse",Institutions & Markets,0.68,Institutions & Markets,0.75,0.17765151515151514,0.40573774857954553,4,,,
7,113,"know, art, really, kind, lot",Conversational Reflections on Art Practice,Practice & Pedagogy,0.85,Conversational Discourse on Art and AI,Philosophy of Creativity,0.85,Artists on digital-physical practice,Practice & Pedagogy,0.88,AI and the Future of Art,Philosophy of Creativity,0.72,Practice & Pedagogy,0.5,0.20085978835978835,0.37151599702380955,4,,,
8,68,"copyright, coders, software, law, protection",AI Copyright and Legal Protection,Governance & Rights,0.95,AI Copyright and Legal Frameworks,Governance & Rights,0.95,Copyright and AI-Generated Art,Governance & Rights,0.93,Copyright in AI-generated art,Governance & Rights,0.78,Governance & Rights,1.0,0.34801587301587306,0.6082921626984128,4,,,
9,11,"internet, mo ma, ma, mo, exhibition",Digital Art Exhibition and Display,Institutions & Markets,0.85,Digital Art Exhibition and Curation,Institutions & Markets,0.85,Museum exhibition of internet art,Institutions & Markets,0.86,Digital Internet Art at MoMA,Practice & Pedagogy,0.65,Institutions & Markets,0.75,0.3194444444444444,0.4632486979166667,4,,,
